ID,region,county,lat,long,condition_rate,inspection_date,bridge_length_ft,curb_to_curb_width_ft,deck_area_sq_ft,aadt,year_of_aadt,material,structure,year,popz
14731,9,#N/A,42.32769401,-75.31177795,5.83,42885,25,18.1,500,-0.4,2017,4,3,1967,-0.6
14732,7,#N/A,44.94233702,-74.29396005,5.41,43319,63,23.8,1512,-0.4,2014,4,3,1972,-0.6
14733,7,#N/A,44.19392899,-75.78194398,6.69,43312,48,17,912,-0.4,2011,4,3,1931,-0.5
14734,7,#N/A,44.19358098,-75.78283097,5.41,42921,59,15.8,1000,-0.4,2011,4,11,1931,-0.5
14735,7,#N/A,44.33372701,-75.79034599,5.71,43306,59,28.2,1780,-0.4,2014,11,3,1984,-0.5
14736,6,#N/A,42.24112195,-77.10959705,6.44,42977,55,26.3,1540,-0.4,2012,6,6,1997,-0.5
14737,6,#N/A,42.24400003,-77.10084099,6.61,43403,40,27,1140,-0.4,2012,6,6,2018,-0.5
14738,9,#N/A,42.03251399,-76.36524302,0,32976,109,17.7,2300,-0.4,2017,4,4,1900,-0.6
14739,6,#N/A,42.084855,-77.66319606,4.73,42941,34,19.1,683,-0.4,2017,4,3,1963,-0.5
14740,2,#N/A,43.31496495,-75.81753903,7,43382,64,0,3600,-0.4,2016,4,19,1986,-0.3
14741,1,#N/A,42.63310601,-73.55295099,3,43207,23,16.1,400,-0.4,2015,2,12,1920,-0.4
14742,8,#N/A,41.33516964,-73.55268358,4.85,43286,22,17.9,414,-0.4,2017,11,3,1955,1
14743,8,#N/A,42.11993496,-73.51798501,4.1,43210,120,20,2700,-0.4,2015,4,3,1956,-0.6
14744,9,#N/A,42.63677299,-75.49727903,6,43234,23,0,1191,-0.4,2014,4,19,2014,-0.6
14745,6,#N/A,42.10364599,-76.75571098,6.65,42857,30,23.1,780,-0.4,2016,8,3,1976,-0.6
14746,5,#N/A,42.09516203,-79.47473495,5.61,42893,52,26.3,1451,-0.4,2013,8,2,1978,-0.5
